intentType obs_collection provenance_name instrument_name project filters wavelength_region target_name target_classification obs_id s_ra s_dec dataproduct_type proposal_pi calib_level t_min t_max t_exptime em_min em_max obs_title t_obs_release proposal_id proposal_type sequence_number s_region jpegURL dataURL dataRights mtFlag srcDen obsid objID exptime distance obsID obs_collection_products dataproduct_type_products description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project_products prvversion proposal_id_products productFilename size parent_obsid dataRights_products calib_level_products filters_products author mission # year sort_order
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo203354381 "" hlsp_everest_k2_llc_203354381-c02_kepler_v2.0_lc 246.61611 -26.420869 timeseries "Rodrigo Luger" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 2 "CIRCLE 246.61611 -26.420869 0.0011111111111111111" mast:HLSP/everest/v2/c02/203300000/54381/hlsp_everest_k2_llc_203354381-c02_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c02/203300000/54381/hlsp_everest_k2_llc_203354381-c02_kepler_v2.0_lc.fits PUBLIC False nan 30779941 594337547 1800 0.0 30779941 HLSP timeseries FITS S mast:HLSP/everest/v2/c02/203300000/54381/hlsp_everest_k2_llc_203354381-c02_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_203354381-c02_kepler_v2.0_lc.fits 13610880 30779941 PUBLIC 4 KEPLER EVEREST "K2 Campaign 02" "" 2014 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo203354381 "" hlsp_k2sff_k2_lightcurve_203354381-c02_kepler_v1_llc 246.61611 -26.420869 timeseries "Andrew Vanderburg" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58689.620405 N/A "" 2 "CIRCLE 246.61611 -26.420869 0.0011111111111111111" mast:HLSP/k2sff/c02/203300000/54381/hlsp_k2sff_k2_lightcurve_203354381-c02_kepler_v1_llc.png mast:HLSP/k2sff/c02/203300000/54381/hlsp_k2sff_k2_lightcurve_203354381-c02_kepler_v1_llc.fits PUBLIC False nan 30165155 600950313 1800 0.0 30165155 HLSP timeseries FITS S mast:HLSP/k2sff/c02/203300000/54381/hlsp_k2sff_k2_lightcurve_203354381-c02_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 4 N/A hlsp_k2sff_k2_lightcurve_203354381-c02_kepler_v1_llc.fits 3300480 30165155 PUBLIC 4 KEPLER K2SFF "K2 Campaign 02" "" 2014 9
science HLSP K2VARCAT Kepler K2 KEPLER Optical ktwo203354381 "" hlsp_k2varcat_k2_lightcurve_203354381-c02_kepler_v2_llc 246.61611 -26.420869 timeseries "David Armstrong" 4 56893.96930799 56971.54874876 1800.0 418.4 905.0 "" 58877.73553234 "" "" 2 "CIRCLE ICRS 246.61611000 -26.42086900 0.00111111" mast:HLSP/k2varcat/c02/203300000/54000/hlsp_k2varcat_k2_lightcurve_203354381-c02_kepler_v2_llc-detrend-thumb.png mast:HLSP/k2varcat/c02/203300000/54000/hlsp_k2varcat_k2_lightcurve_203354381-c02_kepler_v2_llc.fits PUBLIC False nan 32343699 76285301 1800 0.0 32343699 HLSP timeseries FITS C mast:HLSP/k2varcat/c02/203300000/54000/hlsp_k2varcat_k2_lightcurve_203354381-c02_kepler_v2_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2VARCAT 4 "" hlsp_k2varcat_k2_lightcurve_203354381-c02_kepler_v2_llc.fits 129600 32343699 PUBLIC 4 KEPLER K2VARCAT "K2 Campaign 02" "" 2014 9
science K2 K2 Kepler K2 KEPLER Optical ktwo203636498 "" ktwo203636498-c02_lc 245.27124 -25.461782 timeseries "" 2 56892.76894493 56971.5609235 1800.0 420.0 910.0 "" 57114.0 GO2051_GO2106 "" 2 "CIRCLE ICRS 245.27124000 -25.46178200 0.00111111" mast:K2/url/missions/k2/previews/c2/203600000/36000/ktwo203636498-c02_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c2/203600000/36000/ktwo203636498-c02_llc.fits PUBLIC False nan 857553 64021374 1800 0.0 857553 K2 timeseries "Lightcurve Long Cadence (KLC) - C02" S mast:K2/url/missions/k2/lightcurves/c2/203600000/36000/ktwo203636498-c02_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 21 GO2051_GO2106 ktwo203636498-c02_llc.fits 414720 857553 PUBLIC 2 KEPLER K2 "K2 Campaign 02" "" 2014 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo203636498 "" hlsp_everest_k2_llc_203636498-c02_kepler_v2.0_lc 245.27124 -25.461782 timeseries "Rodrigo Luger" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 2 "CIRCLE 245.27124 -25.461782 0.0011111111111111111" mast:HLSP/everest/v2/c02/203600000/36498/hlsp_everest_k2_llc_203636498-c02_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c02/203600000/36498/hlsp_everest_k2_llc_203636498-c02_kepler_v2.0_lc.fits PUBLIC False nan 30837085 594346725 1800 0.0 30837085 HLSP timeseries FITS S mast:HLSP/everest/v2/c02/203600000/36498/hlsp_everest_k2_llc_203636498-c02_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_203636498-c02_kepler_v2.0_lc.fits 13628160 30837085 PUBLIC 4 KEPLER EVEREST "K2 Campaign 02" "" 2014 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo203636498 "" hlsp_k2sff_k2_lightcurve_203636498-c02_kepler_v1_llc 245.27124 -25.461782 timeseries "Andrew Vanderburg" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58689.620405 N/A "" 2 "CIRCLE 245.27124 -25.461782 0.0011111111111111111" mast:HLSP/k2sff/c02/203600000/36498/hlsp_k2sff_k2_lightcurve_203636498-c02_kepler_v1_llc.png mast:HLSP/k2sff/c02/203600000/36498/hlsp_k2sff_k2_lightcurve_203636498-c02_kepler_v1_llc.fits PUBLIC False nan 30168265 600965670 1800 0.0 30168265 HLSP timeseries FITS S mast:HLSP/k2sff/c02/203600000/36498/hlsp_k2sff_k2_lightcurve_203636498-c02_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 4 N/A hlsp_k2sff_k2_lightcurve_203636498-c02_kepler_v1_llc.fits 3360960 30168265 PUBLIC 4 KEPLER K2SFF "K2 Campaign 02" "" 2014 9
science HLSP K2VARCAT Kepler K2 KEPLER Optical ktwo203636498 "" hlsp_k2varcat_k2_lightcurve_203636498-c02_kepler_v2_llc 245.27124 -25.461782 timeseries "David Armstrong" 4 56893.96921025 56971.54862508 1800.0 418.4 905.0 "" 58877.73553234 "" "" 2 "CIRCLE ICRS 245.27124000 -25.46178200 0.00111111" mast:HLSP/k2varcat/c02/203600000/36000/hlsp_k2varcat_k2_lightcurve_203636498-c02_kepler_v2_llc-detrend-thumb.png mast:HLSP/k2varcat/c02/203600000/36000/hlsp_k2varcat_k2_lightcurve_203636498-c02_kepler_v2_llc.fits PUBLIC False nan 32343185 76284787 1800 0.0 32343185 HLSP timeseries FITS C mast:HLSP/k2varcat/c02/203600000/36000/hlsp_k2varcat_k2_lightcurve_203636498-c02_kepler_v2_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2VARCAT 4 "" hlsp_k2varcat_k2_lightcurve_203636498-c02_kepler_v2_llc.fits 129600 32343185 PUBLIC 4 KEPLER K2VARCAT "K2 Campaign 02" "" 2014 9
science K2 K2 Kepler K2 KEPLER Optical ktwo203821589 "" ktwo203821589-c02_lc 246.99987 -24.805365 timeseries "" 2 56892.76894493 56971.5609235 1800.0 420.0 910.0 "" 57114.0 GO2049_GO2051_GO2052_GO2085 "" 2 "CIRCLE ICRS 246.99987000 -24.80536500 0.00111111" mast:K2/url/missions/k2/previews/c2/203800000/21000/ktwo203821589-c02_llc_bw_large.png mast:K2/url/missions/k2/lightcurves/c2/203800000/21000/ktwo203821589-c02_llc.fits PUBLIC False nan 858566 64022387 1800 0.0 858566 K2 timeseries "Lightcurve Long Cadence (KLC) - C02" S mast:K2/url/missions/k2/lightcurves/c2/203800000/21000/ktwo203821589-c02_llc.fits SCIENCE "Minimum Recommended Products" LLC "" K2 21 GO2049_GO2051_GO2052_GO2085 ktwo203821589-c02_llc.fits 414720 858566 PUBLIC 2 KEPLER K2 "K2 Campaign 02" "" 2014 1
science HLSP EVEREST Kepler K2 KEPLER OPTICAL ktwo203821589 "" hlsp_everest_k2_llc_203821589-c02_kepler_v2.0_lc 246.99987 -24.805365 timeseries "Rodrigo Luger" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58723.61931702 N/A "" 2 "CIRCLE 246.99987 -24.805365 0.0011111111111111111" mast:HLSP/everest/v2/c02/203800000/21589/hlsp_everest_k2_llc_203821589-c02_kepler_v2.0_dvs-prev.png mast:HLSP/everest/v2/c02/203800000/21589/hlsp_everest_k2_llc_203821589-c02_kepler_v2.0_lc.fits PUBLIC False nan 30837513 594354033 1800 0.0 30837513 HLSP timeseries FITS S mast:HLSP/everest/v2/c02/203800000/21589/hlsp_everest_k2_llc_203821589-c02_kepler_v2.0_lc.fits SCIENCE "Minimum Recommended Products" "" "" EVEREST "" N/A hlsp_everest_k2_llc_203821589-c02_kepler_v2.0_lc.fits 13800960 30837513 PUBLIC 4 KEPLER EVEREST "K2 Campaign 02" "" 2014 9
science HLSP K2SFF Kepler K2 KEPLER OPTICAL ktwo203821589 "" hlsp_k2sff_k2_lightcurve_203821589-c02_kepler_v1_llc 246.99987 -24.805365 timeseries "Andrew Vanderburg" 4 56892.768944930554 56971.56092349537 1800.0 418.4 905.0 "" 58689.620405 N/A "" 2 "CIRCLE 246.99987 -24.805365 0.0011111111111111111" mast:HLSP/k2sff/c02/203800000/21589/hlsp_k2sff_k2_lightcurve_203821589-c02_kepler_v1_llc.png mast:HLSP/k2sff/c02/203800000/21589/hlsp_k2sff_k2_lightcurve_203821589-c02_kepler_v1_llc.fits PUBLIC False nan 30166199 600980151 1800 0.0 30166199 HLSP timeseries FITS S mast:HLSP/k2sff/c02/203800000/21589/hlsp_k2sff_k2_lightcurve_203821589-c02_kepler_v1_llc.fits SCIENCE "Minimum Recommended Products" "" "" K2SFF 4 N/A hlsp_k2sff_k2_lightcurve_203821589-c02_kepler_v1_llc.fits 3300480 30166199 PUBLIC 4 KEPLER K2SFF "K2 Campaign 02" "" 2014 9
