pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Campaign 6,Campaign 7,Campaign 8,Campaign 9,Campaign 10,Campaign 11,Campaign 12,Campaign 13,Campaign 14,Campaign 15
11,204792541,6044751575283331840,203050730,0.4865,0.774,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-204792541-91-SPOC-120,,,,,,,,,,EPIC-203050730-2-EVEREST-1800,,,,,,,,,,,,,
12,205060766,6044838303564444544,203185083,0.44,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-205060766-91-SPOC-120,,,,,,,,,,EPIC-203185083-2-EVEREST-1800,,,,,,,,,,,,,
13,68502886,6048717277503393792,203534383,0.2784,0.3234,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-68502886-91-SPOC-120,,,,,,,,,,EPIC-203534383-2-EVEREST-1800,,,,,,,,,,,,,
14,66750314,6235428336315960576,203462615,0.5201,0.4421,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-66750314-91-SPOC-120,,,,,,,,,,EPIC-203462615-2-EVEREST-1800,,,,,,,,,,,,,
15,12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-12659333-91-SPOC-120,,,,,,,,,,EPIC-204066898-2-EVEREST-1800,,,,,,,,,,,,,EPIC-204066898-15-EVEREST-1800
16,49072492,6242145626506129664,204117263,0.6423,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-49072492-91-SPOC-120,,,,,,,,,,EPIC-204117263-2-EVEREST-1800,,,,,,,,,,,,,
17,49198167,6242649340270424704,204367193,0.4835,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-49198167-91-SPOC-120,,,,,,,,,,EPIC-204367193-2-EVEREST-1800,,,,,,,,,,,,,
18,49518818,6245595108015533824,205110559,0.4031,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-49518818-91-SPOC-120,,,,,,,,,,EPIC-205110559-2-EVEREST-1800,,,,,,,,,,,,,
19,220765024,6246944689821248128,204918279,0.4665,0.4594,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPIC-204918279-2-EVEREST-1800,,,,,,,,,,,,,
20,9669706,6247083125210430080,204897050,0.2639,,Upper Scorpius,10,Stauffer_2017,Stauffer,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-9669706-91-SPOC-120,,,,,,,,,,EPIC-204897050-2-EVEREST-1800,,,,,,,,,,,,,
