pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,tess_sectors,K2_campaign
16,49072492,6242145626506129664,204117263,0.6423,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
17,49198167,6242649340270424704,204367193,0.4835,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
18,49518818,6245595108015533824,205110559,0.4031,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,TESS Sector 91 SPOC 120s TESS Sector 91 QLP 200s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
19,220765024,6246944689821248128,204918279,0.4665,0.4594,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
20,9669706,6247083125210430080,204897050,0.2639,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,TESS Sector 91 SPOC 120s ,K2 Campaign 02 K2 1800s K2 Campaign 02 EVEREST 1800s K2 Campaign 02 K2SFF 1800s K2 Campaign 02 K2VARCAT 1800s 
21,280945693,5234117008292638464,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 11 SPOC 120s TESS Sector 38 SPOC 120s TESS Sector 37 SPOC 120s TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 64 SPOC 120s TESS Sector 11 TESS-SPOC 1800s TESS Sector 38 TESS-SPOC 600s TESS Sector 37 TESS-SPOC 600s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 37 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 TGLC 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 CDIPS 1800s TESS Sector 38 CDIPS 1800s TESS Sector 37 CDIPS 1800s ,
22,296790810,5236296171620605824,,0.3713,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 65 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s ,
23,290889135,5237270068366411392,,0.4835,0.3072,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s TESS Sector 38 CDIPS 1800s ,
24,301432612,5341919587915807616,,0.5044,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 10 QLP 1800s TESS Sector 11 QLP 1800s TESS Sector 37 QLP 600s TESS Sector 10 CDIPS 1800s TESS Sector 11 CDIPS 1800s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s TESS Sector 11 TGLC 1800s TESS Sector 37 CDIPS 1800s ,
25,93763678,5345273648130813696,,0.9156,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 64 QLP 200s TESS Sector 10 GSFC-ELEANOR-LITE 1800s TESS Sector 10 TGLC 1800s ,
