pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,Rebull_2016,Stauffer_2017,Stauffer_2018,Rebull_2018,Zhan_2019,Rebull_2020,Koen_2020,Stauffer_2021,Koen_2021,Guenther_2022,Rebull_2022,Koen_2022,Popinchalk_2023,Bouma_2024,Popinchalk_2024
53,211513644,6091694403899673728,,0.6336,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
54,242407571,6095898695842130048,,0.4722,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
55,127866051,6097896886432620160,,0.7988,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
56,127246012,6099073363870236800,,0.4274,0.1069,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
57,129309458,6100482559819865856,,0.5533,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
58,127309526,6102553352528751104,,0.217,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
59,241884143,6103443682068685696,,0.2695,0.6399,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
60,243499565,6106993554140699520,,1.1947,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
61,243449997,6107289533226214400,,0.3827,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
62,243611773,6108669214161311616,,0.349,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
63,243381460,6111548074901230080,,0.3684,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,Included in table,,,
64,179367270,6117102949382766976,,2.6435,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
65,248145126,6135268015342940928,,0.3504,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
66,135162879,6148164290302297600,,0.3775,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
67,121840452,6197960106773771776,,0.3787,0.205,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,Included in table,,,
68,461643692,6204205642057395456,,0.4115,,UCL/LCC,16,,,,,,,,First CR determination,,,Included in table,,,,
69,272398365,6207552413714047488,,0.4841,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
70,440686535,64933037865353600,211013604,0.4627,,Pleiades,125,First CR determination,,,,,,,,,,,,,,
71,440690770,64933621980897536,211016654,0.2671,0.1702,Pleiades,125,First CR determination,,,,,,,,,,,,,,
72,67768181,65232757863112192,211047687,0.3049,0.2016,Pleiades,125,First CR determination,,,,,,,,,,,,,,
73,14334105,65910602485240576,211057712,0.2775,0.3514,Pleiades,125,First CR determination,,,,,,,,,,,,,,
74,353927317,68183331674900864,211070495,0.606,,Pleiades,125,First CR determination,,,,,,,,,,,,,,
75,165184400,5046815924054174848,,0.66321,,Tucana-Horologium,40,,,,,,,,,,,,,First CR determination,Included in table,
76,465268712,5239392538122310400,,0.31898,,IC 2602,40,,,,,,,,,,,,,,,First CR determination
77,370829038,5247506723457135104,,0.35479,,IC 2602,40,,,,,,,,,,,,,,,First CR determination
78,342456426,5319023224634030464,,0.39463,,CIC 2602,40,,,,,,,,,,,,,,,First CR determination
79,92740519,5321261452356605440,,0.47108,,Theia 92,,,,,,,,,,,,,,,,First CR determination
80,353730181,144329975098261504,,0.5629166667,,Taurus,2,,,,,,,,,,,,,,First CR determination,
81,368129164,1450067137649786752,,0.2683333333,0.1083333333,AB Doradus moving group,149,,,,,,,,,,,,,,First CR determination,
82,267953787,149327461604161408,,0.7275,,Taurus,2,,,,,,,,,,,,,,First CR determination,
83,59836633,154779286930692352,,0.6233333333,,Beta Pic moving group,24,,,,,,,,,,,,,,First CR determination,
84,2234692,181104928193233408,,0.2716666667,2.491666667,Columba,42,,,,,,,,,,,,,,First CR determination,
85,332517282,2330466915715754112,,0.4029166667,,AB Doradus moving group,149,,,,,First CR determination,,Included in table,,,Included in table,,,,Included in table,
86,146539195,2962794236080240128,,0.2804166667,0.30375,Beta Pic moving group,24,,,,,,,,,,,,,,First CR determination,
87,264599508,3156962079670742528,,0.3291666667,0.3745833333,Columba,42,,,,,,,,,,,,,,First CR determination,
88,50745567,3216729878197029120,,0.2641666667,1.189583333,Beta Pic moving group,24,,,,,,,,,,,,,,First CR determination,
89,38539720,3244410500033689728,,0.3816666667,,Pisces-Eridani,120,,,,,,,,,,,,,,First CR determination,
90,311092148,3274291270411229056,,0.3275,,Columba,42,,,,,,,,,,,,,,First CR determination,
91,68812630,3408524670748967808,,0.3766666667,0.22,Taurus,2,,,,,,,,,,,,,,First CR determination,
92,118449916,3410376454489356416,,0.5129166667,0.2795833333,Taurus,2,,,,,,,,,,,,,,First CR determination,
93,142173958,3465944500845668224,,0.49,0.535,TW Hydrae association,10,,,,,,,,,,,,,,First CR determination,
94,193831684,4042180300005971200,,1.2925,,Beta Pic moving group,24,,,,,,,,,,,,,,First CR determination,
95,38820496,4703815338965472768,,0.6554166667,,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,,Mentioned in text or figure,Included in table,
96,201898222,4741424237273655040,,0.4458333333,0.5675,Tucana-Horologium,40,,,,,,,,,,,,,,First CR determination,
97,201789285,4742436853122727040,,0.1516666667,,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,,Mentioned in text or figure,Included in table,
98,144486786,4809722429257648768,,0.2841666667,0.47875,Columba,42,,,,,,,,,,,,,,First CR determination,
99,425937691,4900780511935295872,,0.2008333333,0.1341666667,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,Included in table,Mentioned in text or figure,Included in table,
100,425933644,4905813212878537216,,0.48625,,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,,Mentioned in text or figure,Included in table,
101,206544316,4909009394396454144,,0.3220833333,,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,Included in table,Mentioned in text or figure,Included in table,
102,178155030,5050451154310013056,,0.48625,,Tucana-Horologium,40,,,,,,,,,,,,,,First CR determination,
103,141306513,5179619856194590080,,0.5566666667,,Tucana-Horologium,40,,,,,,,,,,,,,First CR determination,Included in table,
104,397791443,5239135492911437568,,0.2895833333,,IC 2602,40,,,,,,,,,,,,,,First CR determination,
105,177309964,5260885172922381824,,0.4533333333,,CAR,45,,,,,First CR determination,,Included in table,,,Included in table,,,,Included in table,
106,300651846,5275157967723751936,,0.3441666667,,CAR,45,,,,,,,,,,,,,,First CR determination,
107,264767454,5295268619511701760,,0.4170833333,0.8591666667,Columba,42,,,,,,,,,,,,,,First CR determination,
108,89463560,5314298588812179328,,0.3929166667,0.3233333333,Argus,45,,,,,,,,,,,,,,First CR determination,
109,94088626,5368673630700201984,,0.275,,Argus,45,,,,,,,,,,,,,,First CR determination,
110,294328887,5485498390406148736,,0.3545833333,,Carina near moving group,200,,,,,,,,,,,,,,First CR determination,
111,363963079,5506029021277336576,,0.3258333333,0.30875,Argus,45,,,,,,,,,,,,,,First CR determination,
112,402980664,565706429072383232,,0.7733333333,,Columba,42,,,,,,,,,,,,,,First CR determination,
113,359892714,5841324542416019712,,0.4720833333,,Epsilon Chamaeleontis,3.7,,,,,,,,,,,,,,First CR determination,
114,335598085,5857065971210881408,,0.6604166667,0.7475,Lower Centaurus-Crux,16,,,,,,,,First CR determination,,,Included in table,,,Included in table,
115,442571495,6016421494262600960,,0.3995833333,0.5758333333,Upper Centaurus-Lupus,16,,,,,,,,,,,,,,First CR determination,
116,67897871,6041816502013814400,202724025,0.2595833333,0.2795,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,Included in table,
117,405754448,6056695059045701120,,0.5386,5.6,Lower Centaurus-Crux,16,,,,,,,,,,,First CR determination,,,Included in table,
118,405910546,6061362107917642240,,1.582916667,,Lower Centaurus-Crux,16,,,,,,,,,,,,,,First CR determination,
119,404144841,6081328723666902912,,0.4475,,TW Hydrae association,10,,,,,,,,,,,,,,First CR determination,
120,312410638,6090854651891034496,,1.1673,,Upper Centaurus-Lupus,16,,,,,,,,,,,First CR determination,,,Included in table,
121,167664935,6104139604209342464,,0.5854166667,0.44625,Upper Centaurus-Lupus,16,,,,,,,,,,,,,,First CR determination,
122,89026133,6205993722841260032,,0.4666666667,1.159583333,Upper Centaurus-Lupus,16,,,,,,,,First CR determination,,,Included in table,,,Included in table,
123,272248916,6207141200664109184,,0.3708333333,2.1125,Upper Centaurus-Lupus,16,,,,,,,,,,,,,,First CR determination,
124,440725886,63661521387693824,,0.1633333333,,Pleiades,112,,,,,,,,,,,,,,First CR determination,
125,234295610,6485423779719878016,,0.7620833333,,Tucana-Horologium,40,,,,,First CR determination,,Included in table,,,Included in table,,,Mentioned in text or figure,Included in table,
126,224283342,6534521406305916928,,0.8875,,Columba,42,,,,,First CR determination,,Included in table,,,Included in table,,,,Included in table,
127,289840926,6801191424589717888,,0.2,0.6516666667,Beta Pic moving group,24,,,,,,,,,,First CR determination,,,,Included in table,
128,141146667,860453786736413568,,0.16375,,Field,,,,,,,,,,,,,,,First CR determination,
129,12779416,,204364515,1.456,3.0863,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
130,68045555,6049821633855485440,203849738,0.619,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
131,68131578,6049554108931809152,203692610,1.821,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
132,49165224,6249001841715440512,205374937,0.6345,0.5436,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
133,391993423,6039044255241799808,202873945,0.6258,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
134,203444707,6051728977289000064,204296148,0.5314,0.4717,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
135,175597010,6049165500286247040,203962559,1.5402,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
136,175861088,6049107020011536000,203927435,0.482,0.4162,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
137,49040989,6245669050173377280,205024957,1.6656,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
138,49040871,,205046529,1.8358,2.5619,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
139,49585759,6050333112920811776,204143627,1.125,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
140,413551134,4324709330348851968,205483258,5.667,,Upper Scorpius,10,,First CR determination,,Included in table,,,,,,,,,,,
141,220604303,6246938127111232640,204882444,0.3829,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
142,280160269,6246710012810366976,204787516,0.4868,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
143,12776845,6237180545533200640,204270520,0.5123,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
144,49035618,6243897874380625792,204783273,1.1105,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
145,68167990,6049537169580902272,203645396,0.6287,0.4928,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
146,49691316,6050308923664895360,204082531,0.6513,0.4256,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
147,202876323,6051788728874166528,204321142,0.4763,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
148,175744495,6050656781651004160,203956650,0.6752,1.5052,Rho Ophiuchi,1,,,,First CR determination,,,,,,,,,,,
149,205106701,6044015868868398976,202687442,0.5727,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
150,73217080,4130947859386102016,204884822,0.7983,,Upper Scorpius,10,,,,First CR determination,,,,,,,,,,,
151,289840928,6801191355870240768,,0.1991666667,,Beta Pic moving group,24,,,,,First CR determination,,Included in table,,,,,,,,
152,92574021,5372980314662466560,,0.7844,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
153,452345586,5336466353837764736,,3.0568,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
154,379774242,6053207201993945728,,0.9854,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
155,310412874,6053682637686389248,,0.4564,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
156,311447879,5861225840401537152,,0.487,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
157,311333943,6053714557884987008,,0.9197,7.6438,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
158,450386147,5861250373258628224,,1.625,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
159,272407484,6074516458849906560,,0.4707,0.4558,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
160,412182239,6059728989586223232,,1.2804,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
161,165912675,6079851151837148928,,0.2273,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
162,412376751,6056707218046937728,,0.9418,2.8111,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
163,412376096,6056702824347469568,,0.7504,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
164,258583707,6086566762700232960,,0.3142,8.7565,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
165,438709950,6083662127885920512,,1.0214,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
166,241375625,6069546666301995136,,0.5183,0.5606,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
167,179368022,6117335633532511488,,0.1933,0.3857,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
168,241841997,6104539001808460928,,0.1545,0.4224,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
169,334325329,5906896357885973760,,1.3106,0.4346,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
170,334838280,5907453810283014656,,1.3868,1.5172,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
171,366178112,5907570633391708800,,0.3646,0.1216,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
172,160539036,5907508197444116096,,0.6462,0.6026,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
173,140765939,6003464844942163584,,0.8952,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
174,76698847,6207532832961460608,,0.7473,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
175,173267960,6002137188957931008,,0.6336,0.1962,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
176,179357494,5995830115391559424,,0.4067,0.0814,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
177,442575691,6016521378023539456,,0.4291,0.4145,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
178,84187344,5969054327225266688,,3.9769,0.1817,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
179,85125492,5969505470595968000,,0.7574,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
180,85356121,6019068396739406848,,1.4422,0.1488,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
181,97239026,6027177088840456448,,0.2633,,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
182,337243787,5971281937775791360,,0.6297,0.4278,UCL/LCC,16,,,,,,,,,,,First CR determination,,,,
183,65347864,5070527824315406976,,0.32008,,Tucana-Horologium,40,,,,,,,,,,,,,First CR determination,,
184,15756231,51886335968692480,210818897,,,Taurus Foreground,30,,,,,,First CR determination,,,,,,,,,
185,16005843,48841131139979904,210783336,,,Taurus Foreground,30,,,,,,First CR determination,,,,,,,,,
186,456946694,145034968209407232,247454835,2.7733,,Taurus,2,,,,,,First CR determination,,,,,,,,,
187,353752577,3314312226648610560,210690598,3.5045,,Taurus,2,,,,,,First CR determination,,,,,,,,,
188,268397898,147801339463632000,247791556,1.0261,,Taurus,2,,,,,,First CR determination,,,,,,,,,
189,61259674,3314244361868724224,247031423,3.0978,,Taurus,2,,,,,,First CR determination,,,,,,,,,
190,118521714,145213192171160064,247591948,1.1976,,Taurus,2,,,,,,First CR determination,,,,,,,,,
191,118521713,145213192171159552,247592103,1.1978,,Taurus,2,,,,,,First CR determination,,,,,,,,,
192,245792696,3312903580454386048,210554781,11.4675,,Field,,,,,,,First CR determination,,,,,,,,,
193,268510346,147940663906992512,247888948,1.4853,,Field,,,,,,,First CR determination,,,,,,,,,
194,245869001,3313384651152556416,246932950,2.6815,,Field,,,,,,,First CR determination,,,,,,,,,
195,60005364,147182172683187712,247857331,7.4762,,Field,,,,,,,First CR determination,,,,,,,,,
196,,3308598064718584448,246650193,2.9245,,Field,,,,,,,First CR determination,,,,,,,,,
197,160329609,2886233695250041216,,1.012916667,,Argus,45,,,,,,,,,,,,,,First CR determination,
198,148646689,6007250261617947776,,0.4429166667,0.5570833333,Upper Centaurus-Lupus,16,,,,,,,,,,,,,,First CR determination,
199,245834739,3309335218545766784,,0.43625,0.4108333333,Taurus,2,,,,,,,,,,,,,,First CR determination,
200,125843782,151499478104075008,248131102,1.840416667,,Taurus,2,,,,,,,,,,,,,,First CR determination,
201,244161191,2431769083806305152,60019763,0.29875,0.3495833333,Columba,42,,,,,,,,,,,,,,First CR determination,
202,231058925,4719413251435732608,,0.3695833333,,Tucana-Horologium,40,,,,,,,,,,,,,,First CR determination,
203,301676454,3795298673460008064,,0.3825,,Argus,45,,,,,,,,,,,,,,First CR determination,
204,58084670,2034818379464853376,,0.465,,Field,,,,,,,,,,,,,,,First CR determination,
205,67745212,3191994547355916288,,0.2133333333,,Columba,42,,,,,,,,,,,,,,First CR determination,
206,5714469,3493814268751183744,,0.43125,,Upper Centaurus-Lupus,16,,,,,,,,,,,,,,First CR determination,
207,259586708,4784133288986121728,,0.9383333333,,Columba,42,,,,,,,,,,,,,,First CR determination,
