pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
23,TIC-290889135-37-FFI-10min,TIC,290889135,37,FFI,10min,0.045581486268671756
23,TIC-290889135-38-FFI-10min,TIC,290889135,38,FFI,10min,0.04636309899505442
23,TIC-290889135-64-FFI-200s,TIC,290889135,64,FFI,200s,0.05627320264895164
23,TIC-290889135-65-FFI-200s,TIC,290889135,65,FFI,200s,0.04833038786523114
24,TIC-301432612-10-FFI-30min,TIC,301432612,10,FFI,30min,0.041427220286884725
24,TIC-301432612-11-FFI-30min,TIC,301432612,11,FFI,30min,0.038305251956927244
24,TIC-301432612-37-FFI-10min,TIC,301432612,37,FFI,10min,0.04173631688197521
24,TIC-301432612-64-FFI-200s,TIC,301432612,64,FFI,200s,0.1658933829576411
25,TIC-93763678-10-FFI-30min,TIC,93763678,10,FFI,30min,0.009288063554865111
25,TIC-93763678-64-FFI-200s,TIC,93763678,64,FFI,200s,0.014700070524168773
25,TIC-93763678-90-FFI-200s,TIC,93763678,90,FFI,200s,0.013488573937657677
26,TIC-448002486-11-FFI-30min,TIC,448002486,11,FFI,30min,0.02353287177586605
26,TIC-448002486-38-FFI-10min,TIC,448002486,38,FFI,10min,0.03418104075366557
26,TIC-448002486-64-SPOC-120,TIC,448002486,64,SPOC,120,0.11789033412933347
26,TIC-448002486-65-SPOC-120,TIC,448002486,65,SPOC,120,0.11563901901245122
27,TIC-328468855-11-FFI-30min,TIC,328468855,11,FFI,30min,0.011557686049801785
27,TIC-328468855-38-FFI-10min,TIC,328468855,38,FFI,10min,0.018729869397048793
27,TIC-328468855-64-FFI-200s,TIC,328468855,64,FFI,200s,0.015838087939538115
28,TIC-435899024-11-FFI-30min,TIC,435899024,11,FFI,30min,0.04000198927508125
28,TIC-435899024-38-FFI-10min,TIC,435899024,38,FFI,10min,0.03526799304859762
28,TIC-435899024-64-SPOC-120,TIC,435899024,64,SPOC,120,0.22551949024200446
28,TIC-435899024-65-SPOC-120,TIC,435899024,65,SPOC,120,0.17469636797904975
29,TIC-973449111-11-FFI-30min,TIC,973449111,11,FFI,30min,0.010876215497669928
