pop_id,lcname,complex_status
106,TIC-300651846-89-SPOC-120,Complex
106,TIC-300651846-9-FFI-30min,Complex
106,TIC-300651846-90-FFI-200s,Complex
106,TIC-300651846-93-FFI-200s,Complex
107,TIC-264767454-10-SPOC-120,Complex
107,TIC-264767454-27-FFI-10min,Complex
107,TIC-264767454-34-SPOC-120,Complex
107,TIC-264767454-35-SPOC-120,Complex
107,TIC-264767454-36-SPOC-120,Complex
107,TIC-264767454-37-SPOC-120,Complex
107,TIC-264767454-61-FFI-200s,Complex
107,TIC-264767454-62-FFI-200s,Complex
107,TIC-264767454-63-FFI-200s,Complex
107,TIC-264767454-67-FFI-200s,Complex
107,TIC-264767454-8-SPOC-120,Complex
107,TIC-264767454-87-FFI-200s,Complex
107,TIC-264767454-88-SPOC-120,Complex
107,TIC-264767454-89-SPOC-120,Complex
107,TIC-264767454-9-SPOC-120,Complex
107,TIC-264767454-90-SPOC-120,Complex
108,TIC-89463560-10-SPOC-120,Complex
108,TIC-89463560-35-SPOC-120,Complex
108,TIC-89463560-36-SPOC-120,Complex
108,TIC-89463560-37-SPOC-120,Complex
108,TIC-89463560-61-SPOC-120,Complex
108,TIC-89463560-62-SPOC-120,Complex
108,TIC-89463560-63-SPOC-120,Double Dip
108,TIC-89463560-64-SPOC-120,Complex
108,TIC-89463560-8-SPOC-120,Complex
108,TIC-89463560-88-FFI-200s,Complex
108,TIC-89463560-89-SPOC-120,Complex
108,TIC-89463560-9-SPOC-120,Complex
108,TIC-89463560-90-SPOC-120,Complex
109,TIC-94088626-10-SPOC-120,Complex
109,TIC-94088626-37-FFI-10min,Complex
109,TIC-94088626-64-FFI-200s,Complex
109,TIC-94088626-90-SPOC-120,Complex
11,EPIC-203050730-2-EVEREST-1800,Complex
11,EPIC-203050730-2-K2SFF-1800,Complex
11,TIC-204792541-91-SPOC-120,Complex
110,TIC-294328887-1-FFI-30min,Complex
110,TIC-294328887-10-FFI-30min,Complex
110,TIC-294328887-11-FFI-30min,Complex
110,TIC-294328887-12-FFI-30min,Complex
110,TIC-294328887-13-FFI-30min,Complex
110,TIC-294328887-2-FFI-30min,Complex
110,TIC-294328887-27-FFI-10min,Complex
110,TIC-294328887-28-FFI-10min,Complex
110,TIC-294328887-29-FFI-10min,Complex
110,TIC-294328887-3-FFI-30min,Complex
110,TIC-294328887-30-FFI-10min,Complex
110,TIC-294328887-31-FFI-10min,Complex
110,TIC-294328887-32-SPOC-120,Complex
110,TIC-294328887-33-SPOC-120,Complex
110,TIC-294328887-34-SPOC-120,Complex
110,TIC-294328887-35-SPOC-120,Complex
110,TIC-294328887-36-SPOC-120,Complex
110,TIC-294328887-37-SPOC-120,Complex
110,TIC-294328887-38-SPOC-120,Complex
110,TIC-294328887-39-SPOC-120,Complex
110,TIC-294328887-4-FFI-30min,Complex
110,TIC-294328887-5-SPOC-120,Complex
110,TIC-294328887-6-FFI-30min,Complex
110,TIC-294328887-61-FFI-200s,Complex
110,TIC-294328887-62-FFI-200s,Complex
110,TIC-294328887-63-FFI-200s,Complex
110,TIC-294328887-64-FFI-200s,Complex
110,TIC-294328887-65-FFI-200s,Complex
110,TIC-294328887-66-FFI-200s,Complex
110,TIC-294328887-67-FFI-200s,Complex
110,TIC-294328887-68-FFI-200s,Complex
110,TIC-294328887-69-FFI-200s,Complex
110,TIC-294328887-7-FFI-30min,Complex
110,TIC-294328887-8-FFI-30min,Complex
110,TIC-294328887-87-SPOC-120,Complex
110,TIC-294328887-88-SPOC-120,Complex
110,TIC-294328887-89-SPOC-120,Complex
110,TIC-294328887-9-FFI-30min,Complex
110,TIC-294328887-90-SPOC-120,Complex
110,TIC-294328887-93-FFI-200s,Complex
111,TIC-363963079-33-SPOC-120,Complex
111,TIC-363963079-34-SPOC-120,Complex
111,TIC-363963079-35-SPOC-120,Complex
111,TIC-363963079-61-FFI-200s,Complex
111,TIC-363963079-62-FFI-200s,Complex
111,TIC-363963079-7-SPOC-120,Complex
111,TIC-363963079-8-SPOC-120,Complex
111,TIC-363963079-87-SPOC-120,Complex
111,TIC-363963079-88-FFI-200s,Complex
111,TIC-363963079-89-SPOC-120,Complex
112,TIC-402980664-18-SPOC-120,Complex
112,TIC-402980664-19-SPOC-120,Complex
112,TIC-402980664-25-SPOC-120,Complex
112,TIC-402980664-26-SPOC-120,Complex
112,TIC-402980664-53-SPOC-120,Complex
112,TIC-402980664-58-SPOC-120,Complex
112,TIC-402980664-59-SPOC-120,Complex
112,TIC-402980664-73-SPOC-120,Complex
112,TIC-402980664-78-SPOC-120,Not Complex
112,TIC-402980664-79-SPOC-120,Complex
112,TIC-402980664-85-SPOC-120,Complex
112,TIC-402980664-86-SPOC-120,Complex
113,TIC-359892714-11-SPOC-120,Complex
113,TIC-359892714-12-SPOC-120,Complex
113,TIC-359892714-38-SPOC-120,Complex
113,TIC-359892714-39-SPOC-120,Complex
113,TIC-359892714-64-SPOC-120,Complex
