pop_id,lcname,idtype,ID,secorcamp,LC_author,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,group,age_Myr,disco_paper,paper_author,year,Score,Flare,Shelf,Evolution,Notes,per_col
8,TIC-203822419-91-SPOC-120,TIC,203822419,91,SPOC,120,0.147876775,203822419,6050952515921144192,204185983,1.0529,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,2,0,1,1,,one
9,EPIC-204099739-2-K2SFF-1800,EPIC,204099739,2,K2SFF,1800,0.090446979,48908525,6242105876588253056,204099739,0.7428,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,1,0,0,0,,one
9,TIC-48908525-91-FFI-200s,TIC,48908525,91,FFI,200s,0.018005101,48908525,6242105876588253056,204099739,0.7428,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,2,0,0,0,,one
10,EPIC-205267399-2-K2SFF-1800,EPIC,205267399,2,K2SFF,1800,0.047272795,49815071,6246044017998844160,205267399,0.3344,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,2,1,0,0,,one
10,TIC-49815071-91-SPOC-120,TIC,49815071,91,SPOC,120,0.049877107,49815071,6246044017998844160,205267399,0.3344,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,2,0,0,1,Evolution might just be due towards the binary but hard to tell,one
11,EPIC-203050730-2-K2SFF-1800,EPIC,203050730,2,K2SFF,1800,0.023901501,204792541,6044751575283331840,203050730,0.4865,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,,one
11,TIC-204792541-91-SPOC-120,TIC,204792541,91,SPOC,120,0.03155545,204792541,6044751575283331840,203050730,0.4865,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,,one
12,EPIC-203185083-2-K2SFF-1800,EPIC,203185083,2,K2SFF,1800,0.1188362162,205060766,6044838303564444544,203185083,0.44,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,1,1,,one
12,TIC-205060766-91-SPOC-120,TIC,205060766,91,SPOC,120,0.1320141792,205060766,6044838303564444544,203185083,0.44,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,0,,one
13,EPIC-203534383-2-K2SFF-1800,EPIC,203534383,2,K2SFF,1800,0.038640148,68502886,6048717277503393792,203534383,0.2784,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,2,0,0,,one
13,TIC-68502886-91-SPOC-120,TIC,68502886,91,SPOC,120,0.1572326362,68502886,6048717277503393792,203534383,0.2784,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,,one
14,EPIC-203462615-2-K2SFF-1800,EPIC,203462615,2,K2SFF,1800,0.067891493,66750314,6235428336315960576,203462615,0.5201,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,Sudden brightening due to data issues.,one
14,TIC-66750314-91-SPOC-120,TIC,66750314,91,SPOC,120,0.042721164,66750314,6235428336315960576,203462615,0.5201,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,0,,one
15,EPIC-204066898-2-K2SFF-1800,EPIC,204066898,2,K2SFF,1800,0.045735727,12659333,6237069013821425408,204066898,0.3956,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,1,Evolution might just be due to the binary but hard to tell,one
15,EPIC-204066898-15-EVEREST-1800,EPIC,204066898,15,EVEREST,1800,0.075795269,12659333,6237069013821425408,204066898,0.3956,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,0,Evolution might just be due to the binary but hard to tell,one
