pop_id,lcname,idtype,ID,secorcamp,author_x,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author_y,year,calc_per
4,TIC-322928171-91-SPOC-120,TIC,322928171,91,SPOC,120,0.0594746768474578,322928171,6.048612514663538e+18,203636498.0,0.7794,,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.7813899239090031
4,EPIC-203636498-2-EVEREST-1800,EPIC,203636498,2,EVEREST,1800,0.045792579568926,322928171,6.048612514663538e+18,203636498.0,0.7794,,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,3.5841960552999113
4,EPIC-203636498-2-K2SFF-1800,EPIC,203636498,2,K2SFF,1800,0.0737926679677454,322928171,6.048612514663538e+18,203636498.0,0.7794,,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.7771393448063226
5,TIC-175743566-91-SPOC-120,TIC,175743566,91,SPOC,120,0.02526735663414,175743566,6.049078741946842e+18,203821589.0,0.6677,0.9105,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,0.6681796703500478
5,EPIC-203821589-2-EVEREST-1800,EPIC,203821589,2,EVEREST,1800,0.051837429304671,175743566,6.049078741946842e+18,203821589.0,0.6677,0.9105,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,0.0408764131160096
5,EPIC-203821589-2-K2SFF-1800,EPIC,203821589,2,K2SFF,1800,0.1193304289052249,175743566,6.049078741946842e+18,203821589.0,0.6677,0.9105,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,0.9104748491123718
6,TIC-98689067-91-SPOC-120,TIC,98689067,91,SPOC,120,0.1549639344215394,98689067,6.049136569386568e+18,203897692.0,0.6043,0.5011,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,4.271992572741535
6,EPIC-203897692-2-EVEREST-1800,EPIC,203897692,2,EVEREST,1800,0.0726368577837732,98689067,6.049136569386568e+18,203897692.0,0.6043,0.5011,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,0.040876407986862
6,EPIC-203897692-2-K2SFF-1800,EPIC,203897692,2,K2SFF,1800,0.1547828266185454,98689067,6.049136569386568e+18,203897692.0,0.6043,0.5011,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,2.968994773348701
7,TIC-49072162-91-SPOC-120,TIC,49072162,91,SPOC,120,0.041329550743103,49072162,6.049979104536677e+18,204060981.0,0.3996,0.3802,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.1901169014307476
7,EPIC-204060981-2-K2SFF-1800,EPIC,204060981,2,K2SFF,1800,0.0517161726823063,49072162,6.049979104536677e+18,204060981.0,0.3996,0.3802,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.3995824819792192
7,EPIC-204060981-2-EVEREST-1800,EPIC,204060981,2,EVEREST,1800,0.4244542812749279,49072162,6.049979104536677e+18,204060981.0,0.3996,0.3802,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.040880644711941
8,EPIC-204185983-2-K2SFF-1800,EPIC,204185983,2,K2SFF,1800,0.1394942582590073,203822419,6.050952515921144e+18,204185983.0,1.0529,,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1.051316622861955
8,TIC-203822419-91-SPOC-120,TIC,203822419,91,SPOC,120,0.14787677526474,203822419,6.050952515921144e+18,204185983.0,1.0529,,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1.054107311614318
8,EPIC-204185983-2-EVEREST-1800,EPIC,204185983,2,EVEREST,1800,0.0901000264674637,203822419,6.050952515921144e+18,204185983.0,1.0529,,Rho Ophiuchi,1.0,Stauffer_2018,Stauffer,2018,1.050642064798715
9,EPIC-204099739-2-EVEREST-1800,EPIC,204099739,2,EVEREST,1800,0.091259662689339,48908525,6.242105876588253e+18,204099739.0,0.7428,0.7158,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.5284894030742042
9,TIC-48908525-91-FFI-200s,TIC,48908525,91,FFI,200s,0.018005100857398,48908525,6.242105876588253e+18,204099739.0,0.7428,0.7158,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.7134950868319285
9,EPIC-204099739-2-K2SFF-1800,EPIC,204099739,2,K2SFF,1800,0.0904469794938797,48908525,6.242105876588253e+18,204099739.0,0.7428,0.7158,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.7154245490515055
10,EPIC-205267399-2-K2SFF-1800,EPIC,205267399,2,K2SFF,1800,0.0472727949864366,49815071,6.246044017998844e+18,205267399.0,0.3344,0.3311,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.3309642577165836
10,TIC-49815071-91-SPOC-120,TIC,49815071,91,SPOC,120,0.0498771071434021,49815071,6.246044017998844e+18,205267399.0,0.3344,0.3311,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,0.3316772360656522
10,EPIC-205267399-2-EVEREST-1800,EPIC,205267399,2,EVEREST,1800,0.3068262042302758,49815071,6.246044017998844e+18,205267399.0,0.3344,0.3311,Upper Scorpius,10.0,Stauffer_2018,Stauffer,2018,2.3152920980221094
11,TIC-204792541-91-SPOC-120,TIC,204792541,91,SPOC,120,0.031555449962616,204792541,6.044751575283332e+18,203050730.0,0.4865,0.774,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.7722446554358532
11,EPIC-203050730-2-K2SFF-1800,EPIC,203050730,2,K2SFF,1800,0.0239015006932357,204792541,6.044751575283332e+18,203050730.0,0.4865,0.774,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.4863748944625088
11,EPIC-203050730-2-EVEREST-1800,EPIC,203050730,2,EVEREST,1800,0.0205719162430999,204792541,6.044751575283332e+18,203050730.0,0.4865,0.774,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,1.5791808124209468
12,TIC-205060766-91-SPOC-120,TIC,205060766,91,SPOC,120,0.1320141792297364,205060766,6.044838303564445e+18,203185083.0,0.44,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2199483565048247
12,EPIC-203185083-2-K2SFF-1800,EPIC,203185083,2,K2SFF,1800,0.1188362162012636,205060766,6.044838303564445e+18,203185083.0,0.44,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.4399734006219756
12,EPIC-203185083-2-EVEREST-1800,EPIC,203185083,2,EVEREST,1800,0.0249844553653648,205060766,6.044838303564445e+18,203185083.0,0.44,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,4.757512566900674
13,TIC-68502886-91-SPOC-120,TIC,68502886,91,SPOC,120,0.1572326362133026,68502886,6.048717277503394e+18,203534383.0,0.2784,0.3234,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.0927963163673606
13,EPIC-203534383-2-EVEREST-1800,EPIC,203534383,2,EVEREST,1800,0.0453834094813022,68502886,6.048717277503394e+18,203534383.0,0.2784,0.3234,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,3.5841959005391217
13,EPIC-203534383-2-K2SFF-1800,EPIC,203534383,2,K2SFF,1800,0.038640147884326,68502886,6.048717277503394e+18,203534383.0,0.2784,0.3234,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2783992613709851
14,EPIC-203462615-2-K2SFF-1800,EPIC,203462615,2,K2SFF,1800,0.0678914930609658,66750314,6.23542833631596e+18,203462615.0,0.5201,0.4421,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.5203465900261043
14,TIC-66750314-91-SPOC-120,TIC,66750314,91,SPOC,120,0.042721164226532,66750314,6.23542833631596e+18,203462615.0,0.5201,0.4421,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2600523573531643
14,EPIC-203462615-2-EVEREST-1800,EPIC,203462615,2,EVEREST,1800,0.045609391544672,66750314,6.23542833631596e+18,203462615.0,0.5201,0.4421,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,3.905237459520969
15,EPIC-204066898-15-EVEREST-1800,EPIC,204066898,15,EVEREST,1800,0.0757952692005656,12659333,6.237069013821426e+18,204066898.0,0.3956,0.5386,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.3956839238068174
15,EPIC-204066898-2-EVEREST-1800,EPIC,204066898,2,EVEREST,1800,0.0602993624137517,12659333,6.237069013821426e+18,204066898.0,0.3956,0.5386,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.0817061317282446
15,EPIC-204066898-15-K2SFF-1800,EPIC,204066898,15,K2SFF,1800,0.1322634186431619,12659333,6.237069013821426e+18,204066898.0,0.3956,0.5386,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.395365443706566
15,EPIC-204066898-2-K2SFF-1800,EPIC,204066898,2,K2SFF,1800,0.0457357274228482,12659333,6.237069013821426e+18,204066898.0,0.3956,0.5386,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.3955028968277486
15,TIC-12659333-91-SPOC-120,TIC,12659333,91,SPOC,120,0.0456411004066465,12659333,6.237069013821426e+18,204066898.0,0.3956,0.5386,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.3951177195781652
16,EPIC-204117263-2-K2SFF-1800,EPIC,204117263,2,K2SFF,1800,0.0694364981421497,49072492,6.242145626506129e+18,204117263.0,0.6423,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.6419233289877043
16,TIC-49072492-91-SPOC-120,TIC,49072492,91,SPOC,120,0.0686346292495727,49072492,6.242145626506129e+18,204117263.0,0.6423,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.6408726550211661
16,EPIC-204117263-2-EVEREST-1800,EPIC,204117263,2,EVEREST,1800,0.0491210846168019,49072492,6.242145626506129e+18,204117263.0,0.6423,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,3.007332943876595
